store_name,location_long,location_lat,product_group,product_brand,product_name,sales_volume,date_of_manufacture,date_of_expiry,product_price,status,duration_of_expiry,discount,discount_percentage,discount_price,last_status,ultra_discount_percentage,ultra_discount
GoldenCart,69.1720373502347,41.27785806808123,Beverages,Nescafé,Carbonated Drinks,31,2024-06-10,2025-06-06,13.34,yes,361,no,0.0,0.0,yes,0.0,0.0
GoldenCart,69.34156734344441,41.3372414766804,Bakery Products,Ozon,Pasta,90,2024-05-13,2024-08-25,7.11,no,104,yes,50.0,3.555,no,50.0,3.555
EcoGrocer,69.25077651340453,41.34643029153864,Meat Products,Hormel,Lamb,29,2024-03-31,2024-05-19,8.86,yes,49,yes,50.0,4.43,no,50.0,4.43
FreshFoods,69.38350210073996,41.3979674843072,Sweets,Nestlé,Jam,69,2024-09-04,2024-12-17,3.15,no,104,yes,50.0,1.575,no,50.0,1.575
SuperValue,69.19602306110563,41.39548391820533,Dairy Products,Nestlé,Cottage Cheese,56,2024-09-11,2024-11-04,5.49,no,54,yes,50.0,2.745,no,50.0,2.745
FreshFoods,69.35252701412936,41.39208048989668,Meat Products,Tyson,Smoked Meat,56,2024-03-19,2024-04-28,23.51,yes,40,yes,50.0,11.755,no,50.0,11.755
EcoGrocer,69.13111210082992,41.25737873692207,Meat Products,Cherkizovo,Poultry,85,2024-05-21,2024-07-13,23.0,yes,53,yes,50.0,11.5,no,50.0,11.5
MarketMax,69.35254216404475,41.31650159315384,Sweets,Ferrero,Candies,54,2024-09-29,2025-03-27,8.16,yes,179,no,0.0,0.0,yes,0.0,0.0
TastyBite,69.112737686253,41.21389407118845,Bakery Products,Pioner,Noodles,78,2024-08-30,2025-01-03,4.09,yes,126,yes,50.0,2.045,no,50.0,2.045
TastyBite,69.26290764845238,41.39631302887751,Bakery Products,Barilla,Bread,66,2025-02-06,2025-07-21,3.35,no,165,yes,15.9,0.5326500000000001,no,0.0,0.0
EcoGrocer,69.19665202825426,41.221867307055476,Bakery Products,Makfa,Wheat Flour,6,2024-07-22,2024-11-27,5.28,no,128,yes,50.0,2.64,no,50.0,2.64
FoodWorld,69.37059283875399,41.22526491083608,Bakery Products,Pioner,Biscuits,52,2024-07-21,2024-09-03,5.59,yes,44,yes,50.0,2.795,no,50.0,2.795
FreshFoods,69.22404179354409,41.276265162398744,Sweets,Nestlé,Chocolate,72,2024-07-24,2024-12-23,6.56,no,152,yes,50.0,3.28,no,50.0,3.28
TastyBite,69.33978385245565,41.30790627726443,Beverages,Nescafé,Coffee,55,2024-12-24,2026-09-21,13.56,no,636,no,0.0,0.0,no,0.0,0.0
FoodWorld,69.33931989926485,41.20454431458349,Meat Products,Cherkizovo,Sausage,81,2024-07-19,2024-08-12,13.8,no,24,yes,50.0,6.9,no,50.0,6.9
EcoGrocer,69.23133336360084,41.20408075375738,Sweets,Mars,Candies,20,2024-07-15,2025-04-27,8.94,no,286,no,0.0,0.0,no,0.0,0.0
FreshFoods,69.2575284386209,41.303595711936545,Beverages,Lipton,Mineral Water,27,2024-10-20,2026-05-21,13.67,yes,578,no,0.0,0.0,yes,0.0,0.0
MegaMarket,69.38611589750666,41.382299186876224,Beverages,Lipton,Mineral Water,46,2024-08-18,2026-03-20,12.95,no,579,yes,14.5,1.87775,no,0.0,0.0
MarketMax,69.22280667766195,41.32806690076485,Sweets,Ferrero,Ice Cream,29,2024-08-05,2025-06-14,6.86,yes,313,yes,18.3,1.25538,yes,0.0,0.0
MarketMax,69.32436331136935,41.25419761063025,Bakery Products,Yashkino,Noodles,4,2024-10-06,2025-03-13,4.95,yes,158,no,0.0,0.0,no,0.0,0.0
MarketMax,69.2414803395965,41.27859052788929,Dairy Products,Parmalat,Cheese,42,2024-07-05,2024-09-15,4.61,no,72,yes,50.0,2.305,no,50.0,2.305
MarketMax,69.15916790054004,41.33696994862069,Beverages,Nestlé Pure Life,Mineral Water,61,2024-03-28,2024-11-16,15.0,yes,233,yes,50.0,7.5,no,50.0,7.5
FreshFoods,69.14578340372938,41.20187495698272,Dairy Products,Danone,Yogurt,3,2025-01-31,2025-03-05,3.91,yes,33,yes,33.5,1.3098500000000002,no,33.5,1.3098500000000002
FreshFoods,69.35223400753134,41.38332188488494,Meat Products,Hormel,Lamb,78,2025-01-23,2025-03-18,19.37,no,54,yes,41.7,8.077290000000001,no,41.7,8.077290000000001
SuperValue,69.15895003832519,41.24538354777405,Dairy Products,Parmalat,Cottage Cheese,87,2024-09-27,2024-11-30,9.53,yes,64,yes,50.0,4.765,no,50.0,4.765
NutriMart,69.38162435977185,41.28558760463895,Dairy Products,Campina,Butter,39,2025-01-20,2025-02-18,8.37,yes,29,yes,40.9,3.4233299999999995,no,40.9,3.4233299999999995
MegaMarket,69.39466927929759,41.24697713559313,Meat Products,Tyson,Hot Dogs,83,2024-09-09,2024-09-16,21.99,no,7,yes,50.0,10.995,no,50.0,10.995
FreshFoods,69.38896119567521,41.38244431910236,Beverages,Pepsi,Tea,23,2024-12-11,2026-03-12,9.62,no,456,yes,16.2,1.5584399999999998,no,0.0,0.0
FoodWorld,69.14269417713385,41.32195757682551,Sweets,Milka,Cakes,32,2024-05-02,2024-12-20,10.82,yes,232,yes,50.0,5.41,no,50.0,5.41
FoodWorld,69.20522299250638,41.30650474313777,Meat Products,Tyson,Sausage,42,2024-06-20,2024-07-28,9.24,no,38,yes,50.0,4.62,no,50.0,4.62
GoldenCart,69.26311770941135,41.33503507237531,Meat Products,Cherkizovo,Beef,67,2024-06-24,2024-07-06,9.83,yes,12,yes,50.0,4.915,no,50.0,4.915
TastyBite,69.22418262273543,41.26972642448442,Beverages,Lipton,Mineral Water,12,2024-08-16,2025-09-26,6.66,yes,406,no,0.0,0.0,yes,0.0,0.0
NutriMart,69.2766891124227,41.37717002129932,Meat Products,Perdue,Smoked Meat,71,2024-09-04,2024-10-03,19.06,yes,29,yes,50.0,9.53,no,50.0,9.53
PrimePick,69.39270566648574,41.246846991006606,Meat Products,Tyson,Smoked Meat,69,2024-06-21,2024-07-10,9.33,yes,19,yes,50.0,4.665,no,50.0,4.665
NutriMart,69.16600808176835,41.36030266065621,Meat Products,Tyson,Lamb,38,2024-07-13,2024-08-12,8.59,yes,30,yes,50.0,4.295,no,50.0,4.295
TastyBite,69.33712270068725,41.349402569629774,Dairy Products,Amul,Kefir,90,2024-05-22,2024-08-06,2.82,yes,76,yes,50.0,1.41,no,50.0,1.41
PrimePick,69.23859937475765,41.230700129147245,Bakery Products,Barilla,Bread,62,2024-05-16,2024-06-08,3.8,yes,23,yes,50.0,1.9,no,50.0,1.9
MegaMarket,69.37813835356374,41.3610261132726,Meat Products,Tyson,Lamb,16,2024-12-29,2025-02-22,13.32,yes,55,yes,49.6,6.60672,no,49.6,6.60672
NutriMart,69.26588349341787,41.207528904789896,Beverages,Lipton,Juices,76,2024-10-24,2026-02-28,8.96,yes,492,yes,13.4,1.2006400000000002,yes,0.0,0.0
FreshFoods,69.34178093079348,41.214897274445214,Bakery Products,Ozon,Buns,11,2024-06-07,2024-08-14,2.22,yes,68,yes,50.0,1.11,no,50.0,1.11
MegaMarket,69.14431707623714,41.374333118977596,Beverages,Nestlé Pure Life,Mineral Water,30,2024-08-13,2025-11-25,10.84,yes,469,no,0.0,0.0,yes,0.0,0.0
EcoGrocer,69.19340066526772,41.258996711636634,Sweets,Ferrero,Ice Cream,15,2024-12-22,2025-07-15,8.48,no,205,no,0.0,0.0,no,0.0,0.0
SuperValue,69.32874857904461,41.2697879502059,Meat Products,Cherkizovo,Smoked Meat,73,2024-08-13,2024-09-17,7.49,yes,35,yes,50.0,3.745,no,50.0,3.745
MarketMax,69.19170581409094,41.20507889031049,Beverages,Lipton,Mineral Water,77,2024-04-08,2025-12-21,11.28,yes,622,yes,17.5,1.974,yes,0.0,0.0
MegaMarket,69.2626523677067,41.28263566138673,Sweets,Roshen,Chocolate,98,2024-08-03,2024-11-21,9.63,yes,110,yes,50.0,4.815,no,50.0,4.815
TastyBite,69.13827597215267,41.26412531917703,Bakery Products,Yashkino,Biscuits,82,2024-11-25,2024-12-25,4.29,yes,30,yes,50.0,2.145,no,50.0,2.145
GoldenCart,69.36653783059764,41.36060730095482,Meat Products,Perdue,Smoked Meat,64,2024-08-13,2024-10-01,23.9,no,49,yes,50.0,11.95,no,50.0,11.95
TastyBite,69.17292813467634,41.297003736179526,Meat Products,Hormel,Beef,99,2024-10-11,2024-11-19,21.5,yes,39,yes,50.0,10.75,no,50.0,10.75
TastyBite,69.32354420284105,41.22636206344412,Sweets,Milka,Halva,97,2024-11-29,2025-10-11,9.6,yes,316,yes,19.8,1.9008,yes,0.0,0.0
TastyBite,69.19063137755802,41.31674377951454,Beverages,Coca-Cola,Mineral Water,81,2025-01-24,2026-03-25,10.94,yes,425,yes,12.7,1.38938,yes,0.0,0.0
MegaMarket,69.27906297639313,41.36185676125653,Dairy Products,President,Milk,83,2024-06-05,2024-08-21,9.46,yes,77,yes,50.0,4.73,no,50.0,4.73
PrimePick,69.10829321410463,41.22095494622243,Beverages,Pepsi,Tea,71,2024-06-01,2025-12-25,3.67,yes,572,no,0.0,0.0,yes,0.0,0.0
SuperValue,69.27277357923865,41.25908355712841,Beverages,Nestlé Pure Life,Coffee,35,2024-03-20,2025-07-02,11.16,no,469,no,0.0,0.0,no,0.0,0.0
NutriMart,69.1725809363123,41.2219402518952,Bakery Products,Pioner,Noodles,62,2024-09-11,2024-12-12,4.86,yes,92,yes,50.0,2.43,no,50.0,2.43
FoodWorld,69.14245756881758,41.25294789479458,Bakery Products,Yashkino,Biscuits,30,2024-10-15,2024-11-02,3.23,yes,18,yes,50.0,1.615,no,50.0,1.615
MarketMax,69.28114146514099,41.364695858272995,Bakery Products,Pioner,Wheat Flour,17,2024-12-01,2025-05-08,3.32,yes,158,yes,19.4,0.6440799999999999,yes,0.0,0.0
FoodWorld,69.33941762167699,41.22374394126447,Dairy Products,Campina,Yogurt,53,2024-06-06,2024-06-29,5.76,no,23,yes,50.0,2.88,no,50.0,2.88
GoldenCart,69.19719926118177,41.20043217933111,Dairy Products,Parmalat,Butter,87,2024-12-17,2025-02-17,9.63,yes,62,yes,49.6,4.77648,no,49.6,4.77648
FoodWorld,69.35719591292,41.39532182884845,Dairy Products,Danone,Cream,88,2024-08-13,2024-09-25,7.97,yes,43,yes,50.0,3.985,no,50.0,3.985
FreshFoods,69.16740916323383,41.34899136188829,Dairy Products,President,Yogurt,89,2024-08-19,2024-09-05,2.37,no,17,yes,50.0,1.185,no,50.0,1.185
PrimePick,69.17754857858301,41.33819839889428,Bakery Products,Yashkino,Biscuits,73,2024-06-19,2024-08-08,2.23,yes,50,yes,50.0,1.115,no,50.0,1.115
MarketMax,69.35159361300485,41.217462726514974,Sweets,Ferrero,Candies,60,2025-02-08,2025-09-16,6.6,yes,220,no,0.0,0.0,yes,0.0,0.0
FoodWorld,69.28665806718271,41.2225954361787,Bakery Products,Barilla,Biscuits,45,2025-01-13,2025-04-06,5.47,yes,83,yes,22.7,1.2416899999999995,yes,22.7,1.2416899999999995
PrimePick,69.30553235345681,41.25283715704216,Beverages,Lipton,Mineral Water,31,2024-09-30,2026-03-31,9.05,no,547,no,0.0,0.0,no,0.0,0.0
PrimePick,69.22968391681451,41.2940234307494,Beverages,Nestlé Pure Life,Mineral Water,73,2024-04-13,2026-03-02,12.66,no,688,yes,16.6,2.10156,no,0.0,0.0
EcoGrocer,69.23035148784389,41.360744807602444,Bakery Products,Yashkino,Bread,87,2024-05-28,2024-11-11,1.68,yes,167,yes,50.0,0.84,no,50.0,0.84
MegaMarket,69.11783219029148,41.36460818369823,Sweets,Milka,Jam,17,2024-05-04,2024-12-31,5.27,yes,241,yes,50.0,2.635,no,50.0,2.635
EcoGrocer,69.12844012074407,41.318302060591094,Meat Products,Cherkizovo,Hot Dogs,35,2024-06-11,2024-07-04,23.28,no,23,yes,50.0,11.64,no,50.0,11.64
PrimePick,69.23044505083045,41.29527928690573,Dairy Products,President,Milk,19,2024-07-12,2024-09-14,9.74,no,64,yes,50.0,4.87,no,50.0,4.87
GoldenCart,69.21445262926942,41.22137176937298,Meat Products,Cherkizovo,Beef,59,2024-09-23,2024-11-12,19.98,yes,50,yes,50.0,9.99,no,50.0,9.99
MarketMax,69.39160193802302,41.27634657551572,Dairy Products,Campina,Yogurt,61,2024-03-31,2024-06-24,4.62,yes,85,yes,50.0,2.31,no,50.0,2.31
FreshFoods,69.28531471010972,41.35938675002003,Meat Products,Perdue,Beef,18,2024-04-11,2024-04-20,11.09,yes,9,yes,50.0,5.545,no,50.0,5.545
FreshFoods,69.19859585428732,41.317383553955196,Beverages,Lipton,Juices,86,2024-12-20,2026-08-21,9.22,no,609,no,0.0,0.0,no,0.0,0.0
MarketMax,69.28445581546696,41.23046991874648,Sweets,Nestlé,Cakes,5,2024-09-24,2025-04-13,6.43,no,201,no,0.0,0.0,no,0.0,0.0
GoldenCart,69.21838739619504,41.34467980169905,Sweets,Milka,Chocolate,51,2024-08-07,2025-02-10,11.68,no,187,yes,49.5,5.7816,no,49.5,5.7816
FoodWorld,69.11386908196403,41.39068417504754,Sweets,Mars,Chocolate,43,2024-07-21,2024-12-22,9.87,yes,154,yes,50.0,4.935,no,50.0,4.935
TastyBite,69.19135621007925,41.23428326392089,Bakery Products,Ozon,Pasta,77,2024-03-20,2024-06-05,7.01,yes,77,yes,50.0,3.505,no,50.0,3.505
SuperValue,69.30866353185553,41.205667983825556,Dairy Products,Campina,Butter,4,2024-05-25,2024-06-09,4.87,no,15,yes,50.0,2.435,no,50.0,2.435
NutriMart,69.11959841282739,41.21692972745538,Dairy Products,Danone,Cream,54,2024-12-13,2025-01-10,7.97,yes,28,yes,50.0,3.985,no,50.0,3.985
GoldenCart,69.23006798742234,41.276664341890644,Sweets,Ferrero,Halva,6,2024-12-10,2025-08-11,6.58,no,244,no,0.0,0.0,no,0.0,0.0
MegaMarket,69.27140346156894,41.29769380837263,Beverages,Coca-Cola,Tea,92,2024-11-01,2025-07-14,13.59,yes,255,yes,17.8,2.41902,yes,0.0,0.0
SuperValue,69.16804397125105,41.20243840686268,Sweets,Roshen,Jam,42,2024-09-30,2025-09-26,4.95,yes,361,yes,17.8,0.8811000000000001,yes,0.0,0.0
MarketMax,69.21501134252017,41.255949521811594,Sweets,Ferrero,Ice Cream,58,2024-07-13,2025-05-10,5.39,yes,301,no,0.0,0.0,yes,0.0,0.0
MarketMax,69.20585997615784,41.361370988742806,Meat Products,Hormel,Poultry,20,2024-11-16,2024-11-27,6.82,yes,11,yes,50.0,3.41,no,50.0,3.41
MarketMax,69.26185342217688,41.29425995564537,Bakery Products,Yashkino,Wheat Flour,76,2024-12-31,2025-05-30,3.31,yes,150,no,0.0,0.0,yes,0.0,0.0
GoldenCart,69.30030057197304,41.396594473995634,Beverages,Coca-Cola,Juices,77,2024-08-25,2026-02-16,2.45,yes,540,yes,18.9,0.4630499999999999,yes,0.0,0.0
SuperValue,69.30616528161717,41.25969454505564,Dairy Products,Parmalat,Butter,72,2024-09-23,2024-10-21,8.1,yes,28,yes,50.0,4.05,no,50.0,4.05
MarketMax,69.26325640980487,41.24895580356143,Sweets,Roshen,Jam,83,2024-12-29,2025-04-11,8.09,yes,103,yes,24.4,1.97396,yes,24.4,1.97396
PrimePick,69.31101436022952,41.30044005918945,Meat Products,Hormel,Poultry,1,2024-06-19,2024-07-05,16.33,yes,16,yes,50.0,8.165,no,50.0,8.165
SuperValue,69.25926687494027,41.34609107100213,Dairy Products,Campina,Cottage Cheese,28,2024-09-27,2024-12-03,5.63,yes,67,yes,50.0,2.815,no,50.0,2.815
PrimePick,69.39868475097097,41.2286531649854,Sweets,Roshen,Chocolate,7,2024-06-06,2024-11-23,9.54,yes,170,yes,50.0,4.77,no,50.0,4.77
FreshFoods,69.11313466145106,41.223995683744896,Beverages,Nescafé,Tea,54,2024-08-05,2025-09-09,11.57,yes,400,no,0.0,0.0,yes,0.0,0.0
MarketMax,69.21117082981448,41.26446702579037,Sweets,Nestlé,Halva,86,2024-08-23,2024-12-14,4.21,no,113,yes,50.0,2.105,no,50.0,2.105
MegaMarket,69.11899143262109,41.28875413269238,Bakery Products,Makfa,Bread,38,2024-09-02,2024-10-09,1.05,no,37,yes,50.0,0.525,no,50.0,0.525
SuperValue,69.23306103858533,41.303532147722905,Bakery Products,Yashkino,Noodles,86,2024-09-16,2024-10-11,3.78,no,25,yes,50.0,1.89,no,50.0,1.89
MarketMax,69.35633071358242,41.25454126854861,Meat Products,Cherkizovo,Sausage,74,2024-10-12,2024-12-03,17.8,yes,52,yes,50.0,8.9,no,50.0,8.9
MarketMax,69.15641668031739,41.31200299986553,Sweets,Nestlé,Jam,47,2024-05-03,2025-03-12,10.44,yes,313,yes,38.8,4.050719999999999,no,38.8,4.050719999999999
NutriMart,69.20218299328583,41.35936332650854,Meat Products,Hormel,Lamb,43,2024-06-13,2024-06-24,15.21,yes,11,yes,50.0,7.605,no,50.0,7.605
TastyBite,69.17506837385562,41.29202231185738,Meat Products,Oscar Mayer,Lamb,14,2024-06-01,2024-06-24,8.95,yes,23,yes,50.0,4.475,no,50.0,4.475
FreshFoods,69.39074495591824,41.34894399930244,Beverages,Lipton,Coffee,98,2025-01-09,2026-10-10,10.54,no,639,yes,19.8,2.08692,no,0.0,0.0
NutriMart,69.38684112794694,41.33867800077576,Meat Products,Oscar Mayer,Sausage,9,2024-11-14,2024-12-19,17.63,no,35,yes,50.0,8.815,no,50.0,8.815
NutriMart,69.16753580089969,41.346539583448305,Meat Products,Perdue,Sausage,5,2024-04-17,2024-05-17,21.63,yes,30,yes,50.0,10.815,no,50.0,10.815
FreshFoods,69.31158442638542,41.24500278589968,Beverages,Nescafé,Coffee,95,2024-04-09,2026-01-09,13.73,yes,640,yes,22.4,3.07552,yes,22.4,3.07552
EcoGrocer,69.22012244940619,41.24909449406746,Bakery Products,Barilla,Biscuits,14,2024-09-10,2024-10-08,4.53,yes,28,yes,50.0,2.265,no,50.0,2.265
EcoGrocer,69.30497998444788,41.223829862167214,Sweets,Roshen,Halva,21,2024-09-21,2025-06-28,11.18,yes,280,no,0.0,0.0,yes,0.0,0.0
GoldenCart,69.25063690562908,41.38835023103901,Meat Products,Tyson,Poultry,13,2024-12-29,2025-02-17,12.73,yes,50,yes,48.2,6.135860000000001,no,48.2,6.135860000000001
NutriMart,69.16012077367196,41.21194299764128,Sweets,Ferrero,Cakes,40,2024-10-05,2025-03-10,7.95,no,156,yes,40.1,3.1879500000000003,no,40.1,3.1879500000000003
PrimePick,69.15779228158476,41.35500891445192,Meat Products,Oscar Mayer,Smoked Meat,90,2024-12-13,2024-12-25,17.92,yes,12,yes,50.0,8.96,no,50.0,8.96
GoldenCart,69.117479893407,41.33867242924711,Bakery Products,Ozon,Biscuits,25,2024-07-12,2024-08-23,2.08,yes,42,yes,50.0,1.04,no,50.0,1.04
FreshFoods,69.16632594686783,41.312580635033996,Sweets,Mars,Jam,44,2025-01-29,2025-07-05,7.97,yes,157,no,0.0,0.0,yes,0.0,0.0
SuperValue,69.26681965993338,41.34696909078039,Bakery Products,Pioner,Wheat Flour,53,2024-09-21,2025-03-20,6.04,no,180,yes,32.9,1.98716,no,32.9,1.98716
NutriMart,69.38435527233783,41.20143328968182,Beverages,Pepsi,Coffee,31,2024-08-24,2026-06-15,13.66,yes,660,yes,18.1,2.4724600000000003,yes,0.0,0.0
NutriMart,69.29224397749898,41.298304276236045,Meat Products,Perdue,Hot Dogs,68,2024-10-19,2024-11-05,21.34,no,17,yes,50.0,10.67,no,50.0,10.67
SuperValue,69.31668208723963,41.200539207777574,Beverages,Nestlé Pure Life,Coffee,14,2024-12-08,2025-10-11,4.99,no,307,no,0.0,0.0,no,0.0,0.0
PrimePick,69.28336738349607,41.310039242178064,Beverages,Coca-Cola,Carbonated Drinks,58,2024-09-13,2025-04-08,6.81,yes,207,no,0.0,0.0,yes,0.0,0.0
GoldenCart,69.36541442513125,41.28234604785237,Meat Products,Oscar Mayer,Beef,41,2024-05-08,2024-07-07,19.29,yes,60,yes,50.0,9.645,no,50.0,9.645
SuperValue,69.30800052158713,41.329039425987936,Beverages,Pepsi,Tea,58,2025-01-28,2025-08-01,13.68,yes,185,no,0.0,0.0,yes,0.0,0.0
EcoGrocer,69.25822151906408,41.37249291622407,Sweets,Roshen,Ice Cream,15,2024-08-13,2025-03-12,5.01,yes,211,yes,36.6,1.83366,no,36.6,1.83366
MarketMax,69.19135748311494,41.24408071150986,Dairy Products,Nestlé,Butter,64,2025-01-18,2025-04-10,2.13,yes,82,yes,20.6,0.43878,yes,20.6,0.43878
EcoGrocer,69.1144358568304,41.26381690366612,Dairy Products,Amul,Kefir,31,2025-01-05,2025-03-13,3.5,yes,67,yes,28.1,0.9835,no,28.1,0.9835
TastyBite,69.25016771009923,41.374638856305076,Sweets,Roshen,Halva,65,2024-12-27,2025-04-06,5.9,yes,100,no,0.0,0.0,yes,0.0,0.0
MarketMax,69.30103485663332,41.33203112196057,Dairy Products,Parmalat,Butter,9,2024-09-11,2024-10-25,7.86,yes,44,yes,50.0,3.93,no,50.0,3.93
NutriMart,69.2566034058412,41.22243159949424,Dairy Products,Parmalat,Cottage Cheese,44,2025-02-11,2025-03-19,8.64,yes,36,yes,31.0,2.6784000000000003,no,31.0,2.6784000000000003
FoodWorld,69.31372433083669,41.20343439027982,Dairy Products,Campina,Butter,59,2024-04-06,2024-05-27,3.61,no,51,yes,50.0,1.805,no,50.0,1.805
MegaMarket,69.24728496127483,41.32790334463028,Beverages,Nescafé,Tea,33,2024-04-06,2025-04-16,5.01,no,375,no,0.0,0.0,no,0.0,0.0
