store_name,location_long,location_lat,product_group,product_brand,product_name,sales_volume,date_of_manufacture,date_of_expiry,product_price,status
EcoGrocer,-95.39067280122248,29.782254432779236,Dairy Products,Amul,Kefir,31,2025-01-05,2025-03-13,3.5,yes
TastyBite,139.60706793229087,35.72366544909522,Sweets,Roshen,Halva,65,2024-12-27,2025-04-06,5.9,yes
MarketMax,2.327565026106921,48.90470394225515,Dairy Products,Parmalat,Butter,9,2024-09-11,2024-10-25,7.86,yes
NutriMart,-99.1499481391628,19.45611869848123,Dairy Products,Parmalat,Cottage Cheese,44,2025-02-11,2025-03-19,8.64,yes
FoodWorld,37.64844976818476,55.768973584775836,Dairy Products,Campina,Butter,59,2024-04-06,2024-05-27,3.61,no
MegaMarket,-74.02499241170631,40.69435958200497,Beverages,Nescafé,Tea,33,2024-04-06,2025-04-16,5.01,no
MegaMarket,-74.02280753136186,40.749379827707806,Dairy Products,Parmalat,Cheese,52,2024-10-30,2025-01-01,4.71,yes
FoodWorld,37.64702908803767,55.74253469269597,Meat Products,Tyson,Smoked Meat,55,2024-04-28,2024-06-01,17.05,no
TastyBite,139.6105597907782,35.655576641900254,Meat Products,Hormel,Poultry,58,2025-01-21,2025-03-14,13.52,yes
GoldenCart,-0.10511856042888972,51.50211296596702,Meat Products,Cherkizovo,Sausage,36,2025-02-09,2025-04-07,23.96,yes
MarketMax,2.3823095975562167,48.8429311130651,Bakery Products,Barilla,Pasta,78,2024-10-29,2024-11-13,1.88,yes
GoldenCart,-0.08285328881200803,51.49361505825434,Dairy Products,Amul,Yogurt,87,2024-11-04,2025-01-04,4.98,no
NutriMart,-99.14650500513461,19.396369510782854,Meat Products,Hormel,Lamb,15,2024-04-01,2024-05-25,8.72,yes
TastyBite,139.67779644835315,35.63797609954907,Beverages,Pepsi,Coffee,37,2024-11-25,2025-12-14,2.72,no
FoodWorld,37.63863698943638,55.7230656363984,Dairy Products,Campina,Butter,41,2024-09-12,2024-10-04,6.4,yes
PrimePick,-112.05281908959928,33.48353620507531,Bakery Products,Ozon,Noodles,29,2024-05-20,2024-07-17,6.54,yes
FoodWorld,37.62270214372596,55.70842840268083,Meat Products,Perdue,Hot Dogs,17,2025-01-26,2025-02-07,6.31,yes
FoodWorld,37.64421645503747,55.75836956548303,Sweets,Mars,Candies,41,2025-02-10,2025-06-17,6.5,yes
GoldenCart,-0.0948946271864601,51.4702334610745,Sweets,Roshen,Candies,99,2024-05-24,2025-03-31,7.03,no
FreshFoods,-118.26328754571925,34.0540102132924,Bakery Products,Ozon,Buns,29,2024-09-12,2025-01-29,7.26,no
PrimePick,-112.02836483729568,33.418030191948304,Meat Products,Oscar Mayer,Smoked Meat,39,2025-01-27,2025-03-09,6.87,yes
NutriMart,-99.16778057331204,19.476760698786862,Sweets,Roshen,Cakes,73,2024-04-09,2024-07-22,2.81,no
NutriMart,-99.16211916202981,19.409065590783307,Sweets,Nestlé,Halva,82,2024-04-03,2025-03-13,10.89,yes
PrimePick,-112.04353118457843,33.446694481817545,Beverages,Nestlé Pure Life,Tea,10,2024-04-18,2025-03-25,7.15,yes
EcoGrocer,-95.40543313088374,29.74441925683518,Meat Products,Hormel,Sausage,17,2024-09-24,2024-11-02,16.23,yes
FoodWorld,37.61225960119957,55.718052190908395,Bakery Products,Barilla,Wheat Flour,38,2024-10-01,2025-03-14,3.93,no
SuperValue,-87.58642484647507,41.90944778464395,Meat Products,Oscar Mayer,Lamb,64,2024-12-07,2025-01-12,14.98,yes
MegaMarket,-74.01667578158867,40.67180490950438,Beverages,Pepsi,Carbonated Drinks,75,2024-09-15,2025-05-02,1.71,yes
FoodWorld,37.56811774059472,55.734374838144106,Dairy Products,President,Yogurt,34,2024-09-22,2024-11-26,4.93,yes
NutriMart,-99.14694762240558,19.438781686516595,Meat Products,Tyson,Sausage,65,2024-11-04,2024-12-29,16.0,no
NutriMart,-99.17131889802765,19.450639864011887,Dairy Products,President,Kefir,44,2024-12-29,2025-02-27,8.04,yes
TastyBite,139.60432549061574,35.66633870842761,Dairy Products,Danone,Cream,43,2024-11-16,2025-02-04,5.66,yes
TastyBite,139.693436873553,35.64017809857724,Meat Products,Oscar Mayer,Sausage,79,2024-08-19,2024-10-02,11.73,no
TastyBite,139.65659242606444,35.67518466520663,Beverages,Coca-Cola,Juices,43,2024-05-14,2026-01-10,9.17,no
MegaMarket,-74.02944695630143,40.72249096159532,Sweets,Roshen,Candies,93,2024-04-14,2025-03-15,3.71,yes
NutriMart,-99.14518096636849,19.460060612983384,Bakery Products,Barilla,Noodles,90,2024-05-14,2024-07-08,1.13,yes
SuperValue,-87.65941083172979,41.869396010978896,Sweets,Roshen,Ice Cream,95,2024-04-19,2024-09-26,7.19,yes
FoodWorld,37.59867525987378,55.758347715140005,Bakery Products,Pioner,Noodles,44,2024-12-23,2025-03-30,5.73,no
PrimePick,-112.10477358308633,33.459407658007876,Bakery Products,Ozon,Noodles,39,2024-07-12,2024-10-03,6.4,no
FoodWorld,37.60218031742013,55.73750407450184,Meat Products,Hormel,Beef,74,2024-12-22,2025-01-22,22.92,yes
GoldenCart,-0.09733841660434296,51.55286088633914,Meat Products,Tyson,Poultry,92,2024-04-28,2024-05-27,23.48,yes
FoodWorld,37.6500951703508,55.7271986808077,Meat Products,Cherkizovo,Smoked Meat,35,2024-05-28,2024-06-10,17.31,yes
EcoGrocer,-95.32928158090483,29.71547654299575,Bakery Products,Makfa,Wheat Flour,13,2024-10-16,2025-01-15,6.02,yes
SuperValue,-87.62476474342205,41.828618144640714,Bakery Products,Pioner,Buns,61,2024-11-18,2025-05-10,2.4,no
GoldenCart,-0.17188374137585094,51.4859415341302,Dairy Products,Campina,Cottage Cheese,30,2024-12-17,2025-01-04,9.31,yes
SuperValue,-87.67616601507875,41.92149226105782,Beverages,Lipton,Carbonated Drinks,96,2024-08-14,2025-03-20,1.13,yes
FreshFoods,-118.26019578863043,34.0950454846017,Beverages,Nescafé,Coffee,64,2024-05-26,2026-04-22,7.55,yes
FreshFoods,-118.22058807661912,34.03526840968318,Meat Products,Oscar Mayer,Beef,95,2024-09-07,2024-11-03,10.9,yes
EcoGrocer,-95.33418534957265,29.727949491383846,Beverages,Lipton,Coffee,42,2024-05-02,2025-12-13,10.37,yes
SuperValue,-87.58621746129987,41.87584540984899,Dairy Products,Parmalat,Cheese,31,2024-11-02,2024-12-20,9.63,yes
NutriMart,-99.11783166329299,19.383743573419416,Bakery Products,Barilla,Buns,16,2024-11-12,2025-02-05,2.12,yes
PrimePick,-112.06012886748006,33.46742903774188,Meat Products,Hormel,Hot Dogs,29,2024-07-09,2024-07-24,14.56,yes
NutriMart,-99.11300592731443,19.419962484198695,Beverages,Nescafé,Carbonated Drinks,98,2024-07-23,2025-04-12,8.36,yes
GoldenCart,-0.12138312777265252,51.46521027221474,Dairy Products,Amul,Cottage Cheese,26,2025-01-06,2025-03-29,3.2,yes
TastyBite,139.6683295237939,35.67038405526596,Sweets,Nestlé,Chocolate,66,2024-11-02,2025-02-28,6.53,yes
FoodWorld,37.62317971989987,55.762191118509875,Meat Products,Tyson,Sausage,33,2024-03-20,2024-05-13,9.36,yes
MarketMax,2.308575991211208,48.841052886656215,Dairy Products,Nestlé,Cheese,5,2024-08-12,2024-10-17,3.44,yes
MarketMax,2.3913333605218527,48.84404609206383,Beverages,Lipton,Tea,11,2024-12-20,2025-11-01,10.15,yes
SuperValue,-87.6404941368216,41.92738467760776,Bakery Products,Makfa,Wheat Flour,97,2024-03-30,2024-06-21,4.24,no
MarketMax,2.384536043737578,48.85979336084968,Bakery Products,Pioner,Bread,20,2024-08-07,2024-10-01,7.56,no
FreshFoods,-118.22768023141978,34.005421731491,Sweets,Mars,Candies,27,2024-04-22,2024-09-10,7.94,yes
MegaMarket,-74.05157632699441,40.687273415121844,Beverages,Pepsi,Coffee,28,2024-04-16,2025-03-05,8.05,yes
NutriMart,-99.12340823257227,19.41449036963692,Meat Products,Oscar Mayer,Poultry,19,2024-12-10,2024-12-31,13.27,yes
TastyBite,139.68827138909637,35.72105202550267,Bakery Products,Pioner,Noodles,64,2024-04-12,2024-07-16,7.59,yes
TastyBite,139.64193246334213,35.65807344573163,Bakery Products,Ozon,Biscuits,24,2024-12-19,2025-04-26,2.69,yes
SuperValue,-87.5883258826184,41.90867761599349,Sweets,Nestlé,Ice Cream,72,2024-12-15,2025-05-22,5.88,yes
GoldenCart,-0.08557738954887777,51.52207058515479,Meat Products,Tyson,Hot Dogs,93,2024-06-24,2024-07-04,10.37,yes
