product_direction,product_category,product_brand,product_name,product_price,production_date,expire_date,period_of_duration,brand_availability,discount_percentage,price_after_discount,store_name,location_long,location_lat,product_group,sales_volume,date_of_manufacture,date_of_expiry,status,duration_of_expiry,discount,discount_price,last_status,ultra_discount_percentage,ultra_discount
,,Ozon,Pasta,7.11,,,,,,,GoldenCart,-0.136628683,51.53563865,Bakery Products,90.0,13/05/2024,25/08/2024,no,,,,,,
,,Hormel,Lamb,8.86,,,,,,,EcoGrocer,-95.32795481,29.73035728,Meat Products,29.0,31/03/2024,19/05/2024,yes,,,,,,
,,Nestl̩,Jam,3.15,,,,,,,FreshFoods,-118.2657875,34.09888891,Sweets,69.0,04/09/2024,17/12/2024,no,,,,,,
,,Nestl̩,Cottage Cheese,5.49,,,,,,,SuperValue,-87.58144494,41.88615897,Dairy Products,56.0,11/09/2024,04/11/2024,no,,,,,,
,,Tyson,Smoked Meat,23.51,,,,,,,FreshFoods,-118.2360412,34.04071954,Meat Products,56.0,19/03/2024,28/04/2024,yes,,,,,,
,,Cherkizovo,Poultry,23.0,,,,,,,EcoGrocer,-95.41280262,29.74682215,Meat Products,85.0,21/05/2024,13/07/2024,yes,,,,,,
,,Ferrero,Candies,8.16,,,,,,,MarketMax,2.371920841,48.83921829,Sweets,54.0,29/09/2024,27/03/2025,yes,,,,,,
,,Pioner,Noodles,4.09,,,,,,,TastyBite,139.6306875,35.70957252,Bakery Products,78.0,30/08/2024,03/01/2025,yes,,,,,,
,,Barilla,Bread,3.35,,,,,,,TastyBite,139.6904181,35.67351862,Bakery Products,66.0,06/02/2025,21/07/2025,no,,,,,,
,,Makfa,Wheat Flour,5.28,,,,,,,EcoGrocer,-95.39733593,29.77767957,Bakery Products,6.0,22/07/2024,27/11/2024,no,,,,,,
,,Pioner,Biscuits,5.59,,,,,,,FoodWorld,37.63027654,55.7472441,Bakery Products,52.0,21/07/2024,03/09/2024,yes,,,,,,
,,Nestl̩,Chocolate,6.56,,,,,,,FreshFoods,-118.2718159,34.08004204,Sweets,72.0,24/07/2024,23/12/2024,no,,,,,,
,,Nescaf̩,Coffee,13.56,,,,,,,TastyBite,139.6598452,35.72498925,Beverages,55.0,24/12/2024,21/09/2026,no,,,,,,
,,Cherkizovo,Sausage,13.8,,,,,,,FoodWorld,37.64247768,55.75080698,Meat Products,81.0,19/07/2024,12/08/2024,no,,,,,,
,,Mars,Candies,8.94,,,,,,,EcoGrocer,-95.38782904,29.73757151,Sweets,20.0,15/07/2024,27/04/2025,no,,,,,,
,,Lipton,Mineral Water,13.67,,,,,,,FreshFoods,-118.2606119,34.04368679,Beverages,27.0,20/10/2024,21/05/2026,yes,,,,,,
,,Lipton,Mineral Water,12.95,,,,,,,MegaMarket,-73.97944054,40.7484732,Beverages,46.0,18/08/2024,20/03/2026,no,,,,,,
,,Ferrero,Ice Cream,6.86,,,,,,,MarketMax,2.375663406,48.86042206,Sweets,29.0,05/08/2024,14/06/2025,yes,,,,,,
,,Yashkino,Noodles,4.95,,,,,,,MarketMax,2.386250566,48.87901814,Bakery Products,4.0,06/10/2024,13/03/2025,yes,,,,,,
,,Parmalat,Cheese,4.61,,,,,,,MarketMax,2.348369844,48.82016995,Dairy Products,42.0,05/07/2024,15/09/2024,no,,,,,,
,,Nestl̩ Pure Life,Mineral Water,15.0,,,,,,,MarketMax,2.397320412,48.83442566,Beverages,61.0,28/03/2024,16/11/2024,yes,,,,,,
,,Danone,Yogurt,3.91,,,,,,,FreshFoods,-118.2285245,34.0803233,Dairy Products,3.0,31/01/2025,05/03/2025,yes,,,,,,
,,Hormel,Lamb,19.37,,,,,,,FreshFoods,-118.2719035,34.05859696,Meat Products,78.0,23/01/2025,18/03/2025,no,,,,,,
,,Parmalat,Cottage Cheese,9.53,,,,,,,SuperValue,-87.66899013,41.92457208,Dairy Products,87.0,27/09/2024,30/11/2024,yes,,,,,,
,,Campina,Butter,8.37,,,,,,,NutriMart,-99.12047576,19.45166144,Dairy Products,39.0,20/01/2025,18/02/2025,yes,,,,,,
,,Tyson,Hot Dogs,21.99,,,,,,,MegaMarket,-74.0131622,40.69752038,Meat Products,83.0,09/09/2024,16/09/2024,no,,,,,,
,,Pepsi,Tea,9.62,,,,,,,FreshFoods,-118.2574812,34.04555234,Beverages,23.0,11/12/2024,12/03/2026,no,,,,,,
,,Milka,Cakes,10.82,,,,,,,FoodWorld,37.64987346,55.75228738,Sweets,32.0,02/05/2024,20/12/2024,yes,,,,,,
,,Tyson,Sausage,9.24,,,,,,,FoodWorld,37.63411885,55.76278496,Meat Products,42.0,20/06/2024,28/07/2024,no,,,,,,
,,Cherkizovo,Beef,9.83,,,,,,,GoldenCart,-0.118184499,51.48536585,Meat Products,67.0,24/06/2024,06/07/2024,yes,,,,,,
,,Lipton,Mineral Water,6.66,,,,,,,TastyBite,139.6693609,35.70201647,Beverages,12.0,16/08/2024,26/09/2025,yes,,,,,,
,,Perdue,Smoked Meat,19.06,,,,,,,NutriMart,-99.1278527,19.41950205,Meat Products,71.0,04/09/2024,03/10/2024,yes,,,,,,
,,Tyson,Smoked Meat,9.33,,,,,,,PrimePick,-112.0518716,33.4214538,Meat Products,69.0,21/06/2024,10/07/2024,yes,,,,,,
,,Tyson,Lamb,8.59,,,,,,,NutriMart,-99.13073631,19.4802607,Meat Products,38.0,13/07/2024,12/08/2024,yes,,,,,,
,,Amul,Kefir,2.82,,,,,,,TastyBite,139.6048516,35.6388583,Dairy Products,90.0,22/05/2024,06/08/2024,yes,,,,,,
,,Barilla,Bread,3.8,,,,,,,PrimePick,-112.0799531,33.44533969,Bakery Products,62.0,16/05/2024,08/06/2024,yes,,,,,,
,,Tyson,Lamb,13.32,,,,,,,MegaMarket,-73.97488579,40.6779727,Meat Products,16.0,29/12/2024,22/02/2025,yes,,,,,,
,,Lipton,Juices,8.96,,,,,,,NutriMart,-99.13094275,19.40516871,Beverages,76.0,24/10/2024,28/02/2026,yes,,,,,,
,,Ozon,Buns,2.22,,,,,,,FreshFoods,-118.2729212,34.09695902,Bakery Products,11.0,07/06/2024,14/08/2024,yes,,,,,,
,,Nestl̩ Pure Life,Mineral Water,10.84,,,,,,,MegaMarket,-73.98706289,40.70365176,Beverages,30.0,13/08/2024,25/11/2025,yes,,,,,,
,,Ferrero,Ice Cream,8.48,,,,,,,EcoGrocer,-95.3410172,29.8027911,Sweets,15.0,22/12/2024,15/07/2025,no,,,,,,
,,Cherkizovo,Smoked Meat,7.49,,,,,,,SuperValue,-87.66320772,41.83524098,Meat Products,73.0,13/08/2024,17/09/2024,yes,,,,,,
,,Lipton,Mineral Water,11.28,,,,,,,MarketMax,2.352247218,48.90086762,Beverages,77.0,08/04/2024,21/12/2025,yes,,,,,,
,,Roshen,Chocolate,9.63,,,,,,,MegaMarket,-73.95980889,40.67193269,Sweets,98.0,03/08/2024,21/11/2024,yes,,,,,,
,,Yashkino,Biscuits,4.29,,,,,,,TastyBite,139.6919073,35.69135095,Bakery Products,82.0,25/11/2024,25/12/2024,yes,,,,,,
,,Perdue,Smoked Meat,23.9,,,,,,,GoldenCart,-0.092026691,51.52441335,Meat Products,64.0,13/08/2024,01/10/2024,no,,,,,,
,,Hormel,Beef,21.5,,,,,,,TastyBite,139.609106,35.62986971,Meat Products,99.0,11/10/2024,19/11/2024,yes,,,,,,
,,Milka,Halva,9.6,,,,,,,TastyBite,139.6057204,35.67239763,Sweets,97.0,29/11/2024,11/10/2025,yes,,,,,,
,,Coca-Cola,Mineral Water,10.94,,,,,,,TastyBite,139.6291029,35.63930132,Beverages,81.0,24/01/2025,25/03/2026,yes,,,,,,
,,President,Milk,9.46,,,,,,,MegaMarket,-74.04667908,40.71802514,Dairy Products,83.0,05/06/2024,21/08/2024,yes,,,,,,
,,Pepsi,Tea,3.67,,,,,,,PrimePick,-112.07575,33.43994903,Beverages,71.0,01/06/2024,25/12/2025,yes,,,,,,
,,Nestl̩ Pure Life,Coffee,11.16,,,,,,,SuperValue,-87.65217526,41.91450269,Beverages,35.0,20/03/2024,02/07/2025,no,,,,,,
,,Pioner,Noodles,4.86,,,,,,,NutriMart,-99.13423597,19.48249023,Bakery Products,62.0,11/09/2024,12/12/2024,yes,,,,,,
,,Yashkino,Biscuits,3.23,,,,,,,FoodWorld,37.65426017,55.79908523,Bakery Products,30.0,15/10/2024,02/11/2024,yes,,,,,,
,,Pioner,Wheat Flour,3.32,,,,,,,MarketMax,2.368568883,48.84520788,Bakery Products,17.0,01/12/2024,08/05/2025,yes,,,,,,
,,Campina,Yogurt,5.76,,,,,,,FoodWorld,37.65834417,55.71577117,Dairy Products,53.0,06/06/2024,29/06/2024,no,,,,,,
,,Parmalat,Butter,9.63,,,,,,,GoldenCart,-0.138051668,51.51972594,Dairy Products,87.0,17/12/2024,17/02/2025,yes,,,,,,
,,Danone,Cream,7.97,,,,,,,FoodWorld,37.57088991,55.7930383,Dairy Products,88.0,13/08/2024,25/09/2024,yes,,,,,,
,,President,Yogurt,2.37,,,,,,,FreshFoods,-118.2233109,34.07823697,Dairy Products,89.0,19/08/2024,05/09/2024,no,,,,,,
,,Yashkino,Biscuits,2.23,,,,,,,PrimePick,-112.0809313,33.43424633,Bakery Products,73.0,19/06/2024,08/08/2024,yes,,,,,,
,,Ferrero,Candies,6.6,,,,,,,MarketMax,2.326282979,48.86857104,Sweets,60.0,08/02/2025,16/09/2025,yes,,,,,,
,,Barilla,Biscuits,5.47,,,,,,,FoodWorld,37.63506109,55.79592094,Bakery Products,45.0,13/01/2025,06/04/2025,yes,,,,,,
,,Lipton,Mineral Water,9.05,,,,,,,PrimePick,-112.0937878,33.44408358,Beverages,31.0,30/09/2024,31/03/2026,no,,,,,,
,,Nestl̩ Pure Life,Mineral Water,12.66,,,,,,,PrimePick,-112.0409962,33.40059396,Beverages,73.0,13/04/2024,02/03/2026,no,,,,,,
,,Yashkino,Bread,1.68,,,,,,,EcoGrocer,-95.3845679,29.7711065,Bakery Products,87.0,28/05/2024,11/11/2024,yes,,,,,,
,,Milka,Jam,5.27,,,,,,,MegaMarket,-74.01191768,40.69369329,Sweets,17.0,04/05/2024,31/12/2024,yes,,,,,,
,,Cherkizovo,Hot Dogs,23.28,,,,,,,EcoGrocer,-95.36585922,29.72361598,Meat Products,35.0,11/06/2024,04/07/2024,no,,,,,,
,,President,Milk,9.74,,,,,,,PrimePick,-112.0901285,33.47305594,Dairy Products,19.0,12/07/2024,14/09/2024,no,,,,,,
,,Cherkizovo,Beef,19.98,,,,,,,GoldenCart,-0.138342544,51.46643029,Meat Products,59.0,23/09/2024,12/11/2024,yes,,,,,,
,,Campina,Yogurt,4.62,,,,,,,MarketMax,2.396229189,48.88884173,Dairy Products,61.0,31/03/2024,24/06/2024,yes,,,,,,
,,Perdue,Beef,11.09,,,,,,,FreshFoods,-118.2472732,34.06574039,Meat Products,18.0,11/04/2024,20/04/2024,yes,,,,,,
,,Lipton,Juices,9.22,,,,,,,FreshFoods,-118.2399453,34.02568,Beverages,86.0,20/12/2024,21/08/2026,no,,,,,,
,,Nestl̩,Cakes,6.43,,,,,,,MarketMax,2.385569308,48.87209219,Sweets,5.0,24/09/2024,13/04/2025,no,,,,,,
,,Milka,Chocolate,11.68,,,,,,,GoldenCart,-0.109231973,51.46733546,Sweets,51.0,07/08/2024,10/02/2025,no,,,,,,
,,Mars,Chocolate,9.87,,,,,,,FoodWorld,37.58851058,55.71496734,Sweets,43.0,21/07/2024,22/12/2024,yes,,,,,,
,,Ozon,Pasta,7.01,,,,,,,TastyBite,139.6218951,35.64691574,Bakery Products,77.0,20/03/2024,05/06/2024,yes,,,,,,
,,Campina,Butter,4.87,,,,,,,SuperValue,-87.59994862,41.88212155,Dairy Products,4.0,25/05/2024,09/06/2024,no,,,,,,
,,Danone,Cream,7.97,,,,,,,NutriMart,-99.16577538,19.41497715,Dairy Products,54.0,13/12/2024,10/01/2025,yes,,,,,,
,,Ferrero,Halva,6.58,,,,,,,GoldenCart,-0.166894599,51.5087238,Sweets,6.0,10/12/2024,11/08/2025,no,,,,,,
,,Coca-Cola,Tea,13.59,,,,,,,MegaMarket,-73.97127015,40.76265868,Beverages,92.0,01/11/2024,14/07/2025,yes,,,,,,
,,Roshen,Jam,4.95,,,,,,,SuperValue,-87.6522984,41.83466822,Sweets,42.0,30/09/2024,26/09/2025,yes,,,,,,
,,Ferrero,Ice Cream,5.39,,,,,,,MarketMax,2.372377942,48.81651785,Sweets,58.0,13/07/2024,10/05/2025,yes,,,,,,
,,Hormel,Poultry,6.82,,,,,,,MarketMax,2.333454835,48.87956125,Meat Products,20.0,16/11/2024,27/11/2024,yes,,,,,,
,,Yashkino,Wheat Flour,3.31,,,,,,,MarketMax,2.3760796,48.81625644,Bakery Products,76.0,31/12/2024,30/05/2025,yes,,,,,,
,,Coca-Cola,Juices,2.45,,,,,,,GoldenCart,-0.083687013,51.54476074,Beverages,77.0,25/08/2024,16/02/2026,yes,,,,,,
,,Parmalat,Butter,8.1,,,,,,,SuperValue,-87.65737551,41.89377363,Dairy Products,72.0,23/09/2024,21/10/2024,yes,,,,,,
,,Roshen,Jam,8.09,,,,,,,MarketMax,2.39965466,48.89111552,Sweets,83.0,29/12/2024,11/04/2025,yes,,,,,,
,,Hormel,Poultry,16.33,,,,,,,PrimePick,-112.096673,33.40129532,Meat Products,1.0,19/06/2024,05/07/2024,yes,,,,,,
,,Campina,Cottage Cheese,5.63,,,,,,,SuperValue,-87.58261897,41.90219691,Dairy Products,28.0,27/09/2024,03/12/2024,yes,,,,,,
,,Roshen,Chocolate,9.54,,,,,,,PrimePick,-112.0463164,33.4705596,Sweets,7.0,06/06/2024,23/11/2024,yes,,,,,,
,,Nescaf̩,Tea,11.57,,,,,,,FreshFoods,-118.2275061,34.02941028,Beverages,54.0,05/08/2024,09/09/2025,yes,,,,,,
,,Nestl̩,Halva,4.21,,,,,,,MarketMax,2.370021789,48.81768898,Sweets,86.0,23/08/2024,14/12/2024,no,,,,,,
,,Makfa,Bread,1.05,,,,,,,MegaMarket,-74.02585806,40.66356871,Bakery Products,38.0,02/09/2024,09/10/2024,no,,,,,,
,,Yashkino,Noodles,3.78,,,,,,,SuperValue,-87.62654177,41.84101857,Bakery Products,86.0,16/09/2024,11/10/2024,no,,,,,,
,,Cherkizovo,Sausage,17.8,,,,,,,MarketMax,2.394316243,48.80847415,Meat Products,74.0,12/10/2024,03/12/2024,yes,,,,,,
,,Nestl̩,Jam,10.44,,,,,,,MarketMax,2.334676818,48.80868566,Sweets,47.0,03/05/2024,12/03/2025,yes,,,,,,
,,Hormel,Lamb,15.21,,,,,,,NutriMart,-99.17533529,19.42264498,Meat Products,43.0,13/06/2024,24/06/2024,yes,,,,,,
,,Oscar Mayer,Lamb,8.95,,,,,,,TastyBite,139.6779228,35.64559037,Meat Products,14.0,01/06/2024,24/06/2024,yes,,,,,,
,,Lipton,Coffee,10.54,,,,,,,FreshFoods,-118.2164152,34.01991461,Beverages,98.0,09/01/2025,10/10/2026,no,,,,,,
,,Oscar Mayer,Sausage,17.63,,,,,,,NutriMart,-99.08610269,19.41492082,Meat Products,9.0,14/11/2024,19/12/2024,no,,,,,,
,,Perdue,Sausage,21.63,,,,,,,NutriMart,-99.13246631,19.38821721,Meat Products,5.0,17/04/2024,17/05/2024,yes,,,,,,
,,Nescaf̩,Coffee,13.73,,,,,,,FreshFoods,-118.2429932,34.06370084,Beverages,95.0,09/04/2024,09/01/2026,yes,,,,,,
,,Barilla,Biscuits,4.53,,,,,,,EcoGrocer,-95.3722371,29.74255268,Bakery Products,14.0,10/09/2024,08/10/2024,yes,,,,,,
,,Roshen,Halva,11.18,,,,,,,EcoGrocer,-95.3207014,29.78116217,Sweets,21.0,21/09/2024,28/06/2025,yes,,,,,,
,,Tyson,Poultry,12.73,,,,,,,GoldenCart,-0.172563448,51.52528977,Meat Products,13.0,29/12/2024,17/02/2025,yes,,,,,,
,,Ferrero,Cakes,7.95,,,,,,,NutriMart,-99.1498638,19.46992797,Sweets,40.0,05/10/2024,10/03/2025,no,,,,,,
,,Oscar Mayer,Smoked Meat,17.92,,,,,,,PrimePick,-112.0596507,33.45429221,Meat Products,90.0,13/12/2024,25/12/2024,yes,,,,,,
,,Ozon,Biscuits,2.08,,,,,,,GoldenCart,-0.146913393,51.45922305,Bakery Products,25.0,12/07/2024,23/08/2024,yes,,,,,,
,,Mars,Jam,7.97,,,,,,,FreshFoods,-118.2397229,34.05296897,Sweets,44.0,29/01/2025,05/07/2025,yes,,,,,,
,,Pioner,Wheat Flour,6.04,,,,,,,SuperValue,-87.60269022,41.91123451,Bakery Products,53.0,21/09/2024,20/03/2025,no,,,,,,
,,Pepsi,Coffee,13.66,,,,,,,NutriMart,-99.10834635,19.41109279,Beverages,31.0,24/08/2024,15/06/2026,yes,,,,,,
,,Perdue,Hot Dogs,21.34,,,,,,,NutriMart,-99.137032,19.48104398,Meat Products,68.0,19/10/2024,05/11/2024,no,,,,,,
,,Nestl̩ Pure Life,Coffee,4.99,,,,,,,SuperValue,-87.67458202,41.91540019,Beverages,14.0,08/12/2024,11/10/2025,no,,,,,,
,,Coca-Cola,Carbonated Drinks,6.81,,,,,,,PrimePick,-112.0726647,33.44333192,Beverages,58.0,13/09/2024,08/04/2025,yes,,,,,,
,,Oscar Mayer,Beef,19.29,,,,,,,GoldenCart,-0.078347465,51.48097781,Meat Products,41.0,08/05/2024,07/07/2024,yes,,,,,,
,,Pepsi,Tea,13.68,,,,,,,SuperValue,-87.65111206,41.84185996,Beverages,58.0,28/01/2025,01/08/2025,yes,,,,,,
,,Roshen,Ice Cream,5.01,,,,,,,EcoGrocer,-95.36491958,29.79389631,Sweets,15.0,13/08/2024,12/03/2025,yes,,,,,,
,,Nestl̩,Butter,2.13,,,,,,,MarketMax,2.364481057,48.87049517,Dairy Products,64.0,18/01/2025,10/04/2025,yes,,,,,,
,,Amul,Kefir,3.5,,,,,,,EcoGrocer,-95.3906728,29.78225443,Dairy Products,31.0,05/01/2025,13/03/2025,yes,,,,,,
,,Roshen,Halva,5.9,,,,,,,TastyBite,139.6070679,35.72366545,Sweets,65.0,27/12/2024,06/04/2025,yes,,,,,,
,,Parmalat,Butter,7.86,,,,,,,MarketMax,2.327565026,48.90470394,Dairy Products,9.0,11/09/2024,25/10/2024,yes,,,,,,
,,Parmalat,Cottage Cheese,8.64,,,,,,,NutriMart,-99.14994814,19.4561187,Dairy Products,44.0,11/02/2025,19/03/2025,yes,,,,,,
,,Campina,Butter,3.61,,,,,,,FoodWorld,37.64844977,55.76897358,Dairy Products,59.0,06/04/2024,27/05/2024,no,,,,,,
,,Nescaf̩,Tea,5.01,,,,,,,MegaMarket,-74.02499241,40.69435958,Beverages,33.0,06/04/2024,16/04/2025,no,,,,,,
,,Parmalat,Cheese,4.71,,,,,,,MegaMarket,-74.02280753,40.74937983,Dairy Products,52.0,30/10/2024,01/01/2025,yes,,,,,,
,,Tyson,Smoked Meat,17.05,,,,,,,FoodWorld,37.64702909,55.74253469,Meat Products,55.0,28/04/2024,01/06/2024,no,,,,,,
,,Hormel,Poultry,13.52,,,,,,,TastyBite,139.6105598,35.65557664,Meat Products,58.0,21/01/2025,14/03/2025,yes,,,,,,
,,Cherkizovo,Sausage,23.96,,,,,,,GoldenCart,-0.10511856,51.50211297,Meat Products,36.0,09/02/2025,07/04/2025,yes,,,,,,
,,Barilla,Pasta,1.88,,,,,,,MarketMax,2.382309598,48.84293111,Bakery Products,78.0,29/10/2024,13/11/2024,yes,,,,,,
,,Amul,Yogurt,4.98,,,,,,,GoldenCart,-0.082853289,51.49361506,Dairy Products,87.0,04/11/2024,04/01/2025,no,,,,,,
,,Hormel,Lamb,8.72,,,,,,,NutriMart,-99.14650501,19.39636951,Meat Products,15.0,01/04/2024,25/05/2024,yes,,,,,,
,,Pepsi,Coffee,2.72,,,,,,,TastyBite,139.6777964,35.6379761,Beverages,37.0,25/11/2024,14/12/2025,no,,,,,,
,,Campina,Butter,6.4,,,,,,,FoodWorld,37.63863699,55.72306564,Dairy Products,41.0,12/09/2024,04/10/2024,yes,,,,,,
,,Ozon,Noodles,6.54,,,,,,,PrimePick,-112.0528191,33.48353621,Bakery Products,29.0,20/05/2024,17/07/2024,yes,,,,,,
,,Perdue,Hot Dogs,6.31,,,,,,,FoodWorld,37.62270214,55.7084284,Meat Products,17.0,26/01/2025,07/02/2025,yes,,,,,,
,,Mars,Candies,6.5,,,,,,,FoodWorld,37.64421646,55.75836957,Sweets,41.0,10/02/2025,17/06/2025,yes,,,,,,
,,Roshen,Candies,7.03,,,,,,,GoldenCart,-0.094894627,51.47023346,Sweets,99.0,24/05/2024,31/03/2025,no,,,,,,
,,Ozon,Buns,7.26,,,,,,,FreshFoods,-118.2632875,34.05401021,Bakery Products,29.0,12/09/2024,29/01/2025,no,,,,,,
,,Oscar Mayer,Smoked Meat,6.87,,,,,,,PrimePick,-112.0283648,33.41803019,Meat Products,39.0,27/01/2025,09/03/2025,yes,,,,,,
,,Roshen,Cakes,2.81,,,,,,,NutriMart,-99.16778057,19.4767607,Sweets,73.0,09/04/2024,22/07/2024,no,,,,,,
,,Nestl̩,Halva,10.89,,,,,,,NutriMart,-99.16211916,19.40906559,Sweets,82.0,03/04/2024,13/03/2025,yes,,,,,,
,,Nestl̩ Pure Life,Tea,7.15,,,,,,,PrimePick,-112.0435312,33.44669448,Beverages,10.0,18/04/2024,25/03/2025,yes,,,,,,
,,Hormel,Sausage,16.23,,,,,,,EcoGrocer,-95.40543313,29.74441926,Meat Products,17.0,24/09/2024,02/11/2024,yes,,,,,,
,,Barilla,Wheat Flour,3.93,,,,,,,FoodWorld,37.6122596,55.71805219,Bakery Products,38.0,01/10/2024,14/03/2025,no,,,,,,
,,Oscar Mayer,Lamb,14.98,,,,,,,SuperValue,-87.58642485,41.90944778,Meat Products,64.0,07/12/2024,12/01/2025,yes,,,,,,
,,Pepsi,Carbonated Drinks,1.71,,,,,,,MegaMarket,-74.01667578,40.67180491,Beverages,75.0,15/09/2024,02/05/2025,yes,,,,,,
