store_name,location_long,location_lat,product_group,product_brand,product_name,sales_volume,date_of_manufacture,date_of_expiry,product_price,status
NutriMart,69.20662579714327,41.3463690291242,Sweets,Mars,Jam,71,2024-08-19,2025-01-09,11.39,yes
FreshFoods,69.13943246262805,41.39529092374271,Bakery Products,Ozon,Bread,78,2024-07-04,2024-10-06,2.43,yes
PrimePick,69.27830079771131,41.21012299708699,Dairy Products,Nestlé,Cream,55,2024-08-07,2024-08-26,2.03,no
PrimePick,69.39104980462554,41.29217471547535,Beverages,Nescafé,Mineral Water,15,2024-04-26,2025-03-24,8.64,no
NutriMart,69.32411028205209,41.325468616610145,Dairy Products,Parmalat,Kefir,6,2024-09-18,2024-10-28,7.46,yes
GoldenCart,69.32592462390001,41.32222131296403,Beverages,Nescafé,Carbonated Drinks,31,2024-06-10,2025-06-06,13.34,yes
GoldenCart,69.36290281927316,41.23953780054872,Bakery Products,Ozon,Pasta,90,2024-05-13,2024-08-25,7.11,no
EcoGrocer,69.11202342569,41.20068552232154,Meat Products,Hormel,Lamb,29,2024-03-31,2024-05-19,8.86,yes
FreshFoods,69.29431459113619,41.28256016543538,Sweets,Nestlé,Jam,69,2024-09-04,2024-12-17,3.15,no
SuperValue,69.27949289954495,41.33845205279416,Dairy Products,Nestlé,Cottage Cheese,56,2024-09-11,2024-11-04,5.49,no
FreshFoods,69.25702933818226,41.28606769721362,Meat Products,Tyson,Smoked Meat,56,2024-03-19,2024-04-28,23.51,yes
EcoGrocer,69.13776662115576,41.250690671383865,Meat Products,Cherkizovo,Poultry,85,2024-05-21,2024-07-13,23.0,yes
MarketMax,69.35266229385162,41.26160851030014,Sweets,Ferrero,Candies,54,2024-09-29,2025-03-27,8.16,yes
TastyBite,69.28618737185991,41.34758828597235,Bakery Products,Pioner,Noodles,78,2024-08-30,2025-01-03,4.09,yes
TastyBite,69.20439998470424,41.27056950858396,Bakery Products,Barilla,Bread,66,2025-02-06,2025-07-21,3.35,no
EcoGrocer,69.36684070479872,41.349169718705305,Bakery Products,Makfa,Wheat Flour,6,2024-07-22,2024-11-27,5.28,no
FoodWorld,69.3348412631752,41.336637008818066,Bakery Products,Pioner,Biscuits,52,2024-07-21,2024-09-03,5.59,yes
FreshFoods,69.32310810647395,41.29199549323447,Sweets,Nestlé,Chocolate,72,2024-07-24,2024-12-23,6.56,no
TastyBite,69.38049964046544,41.24189321372084,Beverages,Nescafé,Coffee,55,2024-12-24,2026-09-21,13.56,no
FoodWorld,69.28493294004848,41.337546639991956,Meat Products,Cherkizovo,Sausage,81,2024-07-19,2024-08-12,13.8,no
EcoGrocer,69.17242815830893,41.349273117051304,Sweets,Mars,Candies,20,2024-07-15,2025-04-27,8.94,no
FreshFoods,69.19308036045292,41.216996074914746,Beverages,Lipton,Mineral Water,27,2024-10-20,2026-05-21,13.67,yes
MegaMarket,69.32380970424941,41.347599276391094,Beverages,Lipton,Mineral Water,46,2024-08-18,2026-03-20,12.95,no
MarketMax,69.38741933467838,41.20654086648462,Sweets,Ferrero,Ice Cream,29,2024-08-05,2025-06-14,6.86,yes
MarketMax,69.24095546596782,41.25567246184525,Bakery Products,Yashkino,Noodles,4,2024-10-06,2025-03-13,4.95,yes
MarketMax,69.29272569055895,41.25541936061039,Dairy Products,Parmalat,Cheese,42,2024-07-05,2024-09-15,4.61,no
MarketMax,69.147377886481,41.397204551770166,Beverages,Nestlé Pure Life,Mineral Water,61,2024-03-28,2024-11-16,15.0,yes
FreshFoods,69.31340168344248,41.37688597675624,Dairy Products,Danone,Yogurt,3,2025-01-31,2025-03-05,3.91,yes
FreshFoods,69.29014030689015,41.280426966699636,Meat Products,Hormel,Lamb,78,2025-01-23,2025-03-18,19.37,no
SuperValue,69.15184615289387,41.24053088333573,Dairy Products,Parmalat,Cottage Cheese,87,2024-09-27,2024-11-30,9.53,yes
NutriMart,69.31669560212308,41.37623619163386,Dairy Products,Campina,Butter,39,2025-01-20,2025-02-18,8.37,yes
MegaMarket,69.31432438795301,41.28214890532751,Meat Products,Tyson,Hot Dogs,83,2024-09-09,2024-09-16,21.99,no
FreshFoods,69.35737125885841,41.264875670762564,Beverages,Pepsi,Tea,23,2024-12-11,2026-03-12,9.62,no
FoodWorld,69.12915035002551,41.25935836490763,Sweets,Milka,Cakes,32,2024-05-02,2024-12-20,10.82,yes
FoodWorld,69.20119328955961,41.255804438714996,Meat Products,Tyson,Sausage,42,2024-06-20,2024-07-28,9.24,no
GoldenCart,69.24698181946822,41.32148888333301,Meat Products,Cherkizovo,Beef,67,2024-06-24,2024-07-06,9.83,yes
TastyBite,69.37360274493908,41.245519260537705,Beverages,Lipton,Mineral Water,12,2024-08-16,2025-09-26,6.66,yes
NutriMart,69.30789329649193,41.35934474573864,Meat Products,Perdue,Smoked Meat,71,2024-09-04,2024-10-03,19.06,yes
PrimePick,69.26117227482496,41.20805349988036,Meat Products,Tyson,Smoked Meat,69,2024-06-21,2024-07-10,9.33,yes
NutriMart,69.24325298235274,41.27387434458868,Meat Products,Tyson,Lamb,38,2024-07-13,2024-08-12,8.59,yes
TastyBite,69.18199047097261,41.31324205031246,Dairy Products,Amul,Kefir,90,2024-05-22,2024-08-06,2.82,yes
PrimePick,69.22923049280143,41.35743566411929,Bakery Products,Barilla,Bread,62,2024-05-16,2024-06-08,3.8,yes
MegaMarket,69.36848388325012,41.259628447458844,Meat Products,Tyson,Lamb,16,2024-12-29,2025-02-22,13.32,yes
NutriMart,69.35474788444193,41.3430857867146,Beverages,Lipton,Juices,76,2024-10-24,2026-02-28,8.96,yes
FreshFoods,69.20939721438266,41.29894328954613,Bakery Products,Ozon,Buns,11,2024-06-07,2024-08-14,2.22,yes
MegaMarket,69.3947109248509,41.30362327177834,Beverages,Nestlé Pure Life,Mineral Water,30,2024-08-13,2025-11-25,10.84,yes
EcoGrocer,69.30911339066952,41.241343337214104,Sweets,Ferrero,Ice Cream,15,2024-12-22,2025-07-15,8.48,no
SuperValue,69.15964381346268,41.31642460930481,Meat Products,Cherkizovo,Smoked Meat,73,2024-08-13,2024-09-17,7.49,yes
MarketMax,69.13713526865905,41.34354460630217,Beverages,Lipton,Mineral Water,77,2024-04-08,2025-12-21,11.28,yes
MegaMarket,69.10372533473254,41.39117147250613,Sweets,Roshen,Chocolate,98,2024-08-03,2024-11-21,9.63,yes
TastyBite,69.14459221760544,41.278248329024635,Bakery Products,Yashkino,Biscuits,82,2024-11-25,2024-12-25,4.29,yes
GoldenCart,69.36865776038705,41.35203935199314,Meat Products,Perdue,Smoked Meat,64,2024-08-13,2024-10-01,23.9,no
TastyBite,69.30720666700932,41.205036745940816,Meat Products,Hormel,Beef,99,2024-10-11,2024-11-19,21.5,yes
TastyBite,69.19420888314974,41.219928874426714,Sweets,Milka,Halva,97,2024-11-29,2025-10-11,9.6,yes
TastyBite,69.22199463574832,41.39914482069504,Beverages,Coca-Cola,Mineral Water,81,2025-01-24,2026-03-25,10.94,yes
MegaMarket,69.23433921569828,41.24245764904313,Dairy Products,President,Milk,83,2024-06-05,2024-08-21,9.46,yes
PrimePick,69.19117281847373,41.23167905393437,Beverages,Pepsi,Tea,71,2024-06-01,2025-12-25,3.67,yes
SuperValue,69.16288166205285,41.243557841888844,Beverages,Nestlé Pure Life,Coffee,35,2024-03-20,2025-07-02,11.16,no
NutriMart,69.12646720931843,41.3500190285821,Bakery Products,Pioner,Noodles,62,2024-09-11,2024-12-12,4.86,yes
FoodWorld,69.12742858592594,41.25959493008835,Bakery Products,Yashkino,Biscuits,30,2024-10-15,2024-11-02,3.23,yes
MarketMax,69.13652334744731,41.35491375355413,Bakery Products,Pioner,Wheat Flour,17,2024-12-01,2025-05-08,3.32,yes
FoodWorld,69.34224631230737,41.24924439134448,Dairy Products,Campina,Yogurt,53,2024-06-06,2024-06-29,5.76,no
GoldenCart,69.13114062024137,41.283526624554376,Dairy Products,Parmalat,Butter,87,2024-12-17,2025-02-17,9.63,yes
FoodWorld,69.38992530697958,41.2359155434305,Dairy Products,Danone,Cream,88,2024-08-13,2024-09-25,7.97,yes
FreshFoods,69.37606105400323,41.314090054629595,Dairy Products,President,Yogurt,89,2024-08-19,2024-09-05,2.37,no
PrimePick,69.30333652460145,41.32392796618992,Bakery Products,Yashkino,Biscuits,73,2024-06-19,2024-08-08,2.23,yes
MarketMax,69.13612269328956,41.20340664291393,Sweets,Ferrero,Candies,60,2025-02-08,2025-09-16,6.6,yes
FoodWorld,69.24391435252812,41.30609125202559,Bakery Products,Barilla,Biscuits,45,2025-01-13,2025-04-06,5.47,yes
PrimePick,69.20857299387869,41.30334117448356,Beverages,Lipton,Mineral Water,31,2024-09-30,2026-03-31,9.05,no
PrimePick,69.10509501329147,41.2416186979479,Beverages,Nestlé Pure Life,Mineral Water,73,2024-04-13,2026-03-02,12.66,no
EcoGrocer,69.14429522642091,41.25473861173063,Bakery Products,Yashkino,Bread,87,2024-05-28,2024-11-11,1.68,yes
MegaMarket,69.37394279138726,41.30334390326869,Sweets,Milka,Jam,17,2024-05-04,2024-12-31,5.27,yes
EcoGrocer,69.11294504950011,41.25592980172234,Meat Products,Cherkizovo,Hot Dogs,35,2024-06-11,2024-07-04,23.28,no
PrimePick,69.3979448818222,41.248332324336154,Dairy Products,President,Milk,19,2024-07-12,2024-09-14,9.74,no
GoldenCart,69.28194833226499,41.33921301853294,Meat Products,Cherkizovo,Beef,59,2024-09-23,2024-11-12,19.98,yes
MarketMax,69.21776787335212,41.32283893606957,Dairy Products,Campina,Yogurt,61,2024-03-31,2024-06-24,4.62,yes
FreshFoods,69.29772727335252,41.20342506863246,Meat Products,Perdue,Beef,18,2024-04-11,2024-04-20,11.09,yes
FreshFoods,69.33336050142256,41.2980685313164,Beverages,Lipton,Juices,86,2024-12-20,2026-08-21,9.22,no
MarketMax,69.3077634552117,41.305152487840246,Sweets,Nestlé,Cakes,5,2024-09-24,2025-04-13,6.43,no
GoldenCart,69.2090500378807,41.35122366077294,Sweets,Milka,Chocolate,51,2024-08-07,2025-02-10,11.68,no
FoodWorld,69.33461585789946,41.314093367002535,Sweets,Mars,Chocolate,43,2024-07-21,2024-12-22,9.87,yes
TastyBite,69.32456367005335,41.39796788524081,Bakery Products,Ozon,Pasta,77,2024-03-20,2024-06-05,7.01,yes
SuperValue,69.18425328614997,41.29503230248754,Dairy Products,Campina,Butter,4,2024-05-25,2024-06-09,4.87,no
NutriMart,69.19379763947873,41.365390030413565,Dairy Products,Danone,Cream,54,2024-12-13,2025-01-10,7.97,yes
GoldenCart,69.3543681830089,41.383245574132296,Sweets,Ferrero,Halva,6,2024-12-10,2025-08-11,6.58,no
MegaMarket,69.28310117410001,41.276508466549586,Beverages,Coca-Cola,Tea,92,2024-11-01,2025-07-14,13.59,yes
SuperValue,69.39133323225695,41.351097521059096,Sweets,Roshen,Jam,42,2024-09-30,2025-09-26,4.95,yes
MarketMax,69.14496461762278,41.296181452714464,Sweets,Ferrero,Ice Cream,58,2024-07-13,2025-05-10,5.39,yes
MarketMax,69.22222811734039,41.24119806904797,Meat Products,Hormel,Poultry,20,2024-11-16,2024-11-27,6.82,yes
MarketMax,69.2620777785144,41.30776233419088,Bakery Products,Yashkino,Wheat Flour,76,2024-12-31,2025-05-30,3.31,yes
GoldenCart,69.3654117567978,41.32448246843632,Beverages,Coca-Cola,Juices,77,2024-08-25,2026-02-16,2.45,yes
SuperValue,69.19449041928003,41.22059421256464,Dairy Products,Parmalat,Butter,72,2024-09-23,2024-10-21,8.1,yes
MarketMax,69.223106835791,41.21290068623842,Sweets,Roshen,Jam,83,2024-12-29,2025-04-11,8.09,yes
PrimePick,69.34082446568598,41.265570145278446,Meat Products,Hormel,Poultry,1,2024-06-19,2024-07-05,16.33,yes
SuperValue,69.11556851277733,41.31708550123035,Dairy Products,Campina,Cottage Cheese,28,2024-09-27,2024-12-03,5.63,yes
PrimePick,69.35900237044034,41.33985537748135,Sweets,Roshen,Chocolate,7,2024-06-06,2024-11-23,9.54,yes
FreshFoods,69.36554899055493,41.31399463110318,Beverages,Nescafé,Tea,54,2024-08-05,2025-09-09,11.57,yes
MarketMax,69.1760281951607,41.20109246086053,Sweets,Nestlé,Halva,86,2024-08-23,2024-12-14,4.21,no
MegaMarket,69.32390064022161,41.39500671517421,Bakery Products,Makfa,Bread,38,2024-09-02,2024-10-09,1.05,no
SuperValue,69.36715482827577,41.29786427670181,Bakery Products,Yashkino,Noodles,86,2024-09-16,2024-10-11,3.78,no
MarketMax,69.3338891347553,41.346185320617344,Meat Products,Cherkizovo,Sausage,74,2024-10-12,2024-12-03,17.8,yes
MarketMax,69.10154639780772,41.387051629705546,Sweets,Nestlé,Jam,47,2024-05-03,2025-03-12,10.44,yes
NutriMart,69.14355254845313,41.363348921131696,Meat Products,Hormel,Lamb,43,2024-06-13,2024-06-24,15.21,yes
TastyBite,69.13788544031925,41.35698037334897,Meat Products,Oscar Mayer,Lamb,14,2024-06-01,2024-06-24,8.95,yes
FreshFoods,69.38688442856416,41.32965464604087,Beverages,Lipton,Coffee,98,2025-01-09,2026-10-10,10.54,no
NutriMart,69.21492913368066,41.2560346737589,Meat Products,Oscar Mayer,Sausage,9,2024-11-14,2024-12-19,17.63,no
NutriMart,69.11852969152912,41.24282926118951,Meat Products,Perdue,Sausage,5,2024-04-17,2024-05-17,21.63,yes
FreshFoods,69.3792703343348,41.33689349983026,Beverages,Nescafé,Coffee,95,2024-04-09,2026-01-09,13.73,yes
EcoGrocer,69.29966538419775,41.388232115633045,Bakery Products,Barilla,Biscuits,14,2024-09-10,2024-10-08,4.53,yes
EcoGrocer,69.15115959775038,41.234319122464335,Sweets,Roshen,Halva,21,2024-09-21,2025-06-28,11.18,yes
GoldenCart,69.20528831984421,41.256443700374994,Meat Products,Tyson,Poultry,13,2024-12-29,2025-02-17,12.73,yes
NutriMart,69.32185744403226,41.270149343014275,Sweets,Ferrero,Cakes,40,2024-10-05,2025-03-10,7.95,no
PrimePick,69.14341167833818,41.271424760256465,Meat Products,Oscar Mayer,Smoked Meat,90,2024-12-13,2024-12-25,17.92,yes
GoldenCart,69.37693598826799,41.39975976854358,Bakery Products,Ozon,Biscuits,25,2024-07-12,2024-08-23,2.08,yes
FreshFoods,69.36213159520348,41.31980246381374,Sweets,Mars,Jam,44,2025-01-29,2025-07-05,7.97,yes
SuperValue,69.19209592540928,41.2017404918041,Bakery Products,Pioner,Wheat Flour,53,2024-09-21,2025-03-20,6.04,no
NutriMart,69.24201145526625,41.22763505064253,Beverages,Pepsi,Coffee,31,2024-08-24,2026-06-15,13.66,yes
NutriMart,69.23259610272905,41.3498501545663,Meat Products,Perdue,Hot Dogs,68,2024-10-19,2024-11-05,21.34,no
SuperValue,69.10216209780444,41.216176182514644,Beverages,Nestlé Pure Life,Coffee,14,2024-12-08,2025-10-11,4.99,no
PrimePick,69.3991295684806,41.20104974416767,Beverages,Coca-Cola,Carbonated Drinks,58,2024-09-13,2025-04-08,6.81,yes
GoldenCart,69.29651987479633,41.231969039086685,Meat Products,Oscar Mayer,Beef,41,2024-05-08,2024-07-07,19.29,yes
SuperValue,69.34999586929591,41.320475295740685,Beverages,Pepsi,Tea,58,2025-01-28,2025-08-01,13.68,yes
EcoGrocer,69.20405680280761,41.34220459610699,Sweets,Roshen,Ice Cream,15,2024-08-13,2025-03-12,5.01,yes
MarketMax,69.11534731629362,41.225033222357155,Dairy Products,Nestlé,Butter,64,2025-01-18,2025-04-10,2.13,yes
EcoGrocer,69.19955056496107,41.3774775879013,Dairy Products,Amul,Kefir,31,2025-01-05,2025-03-13,3.5,yes
TastyBite,69.34909206548679,41.368091969325235,Sweets,Roshen,Halva,65,2024-12-27,2025-04-06,5.9,yes
MarketMax,69.11887693315055,41.317220213744896,Dairy Products,Parmalat,Butter,9,2024-09-11,2024-10-25,7.86,yes
NutriMart,69.22633839515143,41.214473139981266,Dairy Products,Parmalat,Cottage Cheese,44,2025-02-11,2025-03-19,8.64,yes
FoodWorld,69.38344970836648,41.38620291474871,Dairy Products,Campina,Butter,59,2024-04-06,2024-05-27,3.61,no
MegaMarket,69.24842904270494,41.25873384840401,Beverages,Nescafé,Tea,33,2024-04-06,2025-04-16,5.01,no
MegaMarket,69.26405323353409,41.38875227875859,Dairy Products,Parmalat,Cheese,52,2024-10-30,2025-01-01,4.71,yes
FoodWorld,69.35717415953133,41.31500135245956,Meat Products,Tyson,Smoked Meat,55,2024-04-28,2024-06-01,17.05,no
TastyBite,69.17672466812199,41.308183731799545,Meat Products,Hormel,Poultry,58,2025-01-21,2025-03-14,13.52,yes
GoldenCart,69.34253751689376,41.20030229050803,Meat Products,Cherkizovo,Sausage,36,2025-02-09,2025-04-07,23.96,yes
MarketMax,69.32349351152533,41.33925392554593,Bakery Products,Barilla,Pasta,78,2024-10-29,2024-11-13,1.88,yes
GoldenCart,69.39821944279363,41.205291713864405,Dairy Products,Amul,Yogurt,87,2024-11-04,2025-01-04,4.98,no
NutriMart,69.34549621558511,41.369155617706475,Meat Products,Hormel,Lamb,15,2024-04-01,2024-05-25,8.72,yes
TastyBite,69.38123637197523,41.34753139724474,Beverages,Pepsi,Coffee,37,2024-11-25,2025-12-14,2.72,no
FoodWorld,69.10333836522342,41.32800862980907,Dairy Products,Campina,Butter,41,2024-09-12,2024-10-04,6.4,yes
PrimePick,69.3011708290585,41.21229929461083,Bakery Products,Ozon,Noodles,29,2024-05-20,2024-07-17,6.54,yes
FoodWorld,69.32212322863656,41.294923510605145,Meat Products,Perdue,Hot Dogs,17,2025-01-26,2025-02-07,6.31,yes
FoodWorld,69.21282400007118,41.272155427243874,Sweets,Mars,Candies,41,2025-02-10,2025-06-17,6.5,yes
GoldenCart,69.24379035246251,41.39729680339126,Sweets,Roshen,Candies,99,2024-05-24,2025-03-31,7.03,no
FreshFoods,69.27873250425179,41.318349718739086,Bakery Products,Ozon,Buns,29,2024-09-12,2025-01-29,7.26,no
PrimePick,69.35501840172576,41.35767369645379,Meat Products,Oscar Mayer,Smoked Meat,39,2025-01-27,2025-03-09,6.87,yes
NutriMart,69.29715172601175,41.20653754503408,Sweets,Roshen,Cakes,73,2024-04-09,2024-07-22,2.81,no
NutriMart,69.14252446584908,41.36938271139658,Sweets,Nestlé,Halva,82,2024-04-03,2025-03-13,10.89,yes
PrimePick,69.21861600018312,41.39583021400551,Beverages,Nestlé Pure Life,Tea,10,2024-04-18,2025-03-25,7.15,yes
EcoGrocer,69.39332816126819,41.39965341387638,Meat Products,Hormel,Sausage,17,2024-09-24,2024-11-02,16.23,yes
FoodWorld,69.33356956891171,41.30340332121727,Bakery Products,Barilla,Wheat Flour,38,2024-10-01,2025-03-14,3.93,no
SuperValue,69.11020441932789,41.33986142178959,Meat Products,Oscar Mayer,Lamb,64,2024-12-07,2025-01-12,14.98,yes
MegaMarket,69.35341421616941,41.3874320885983,Beverages,Pepsi,Carbonated Drinks,75,2024-09-15,2025-05-02,1.71,yes
FoodWorld,69.26524192120878,41.26596213393906,Dairy Products,President,Yogurt,34,2024-09-22,2024-11-26,4.93,yes
NutriMart,69.18404423430036,41.262392032918136,Meat Products,Tyson,Sausage,65,2024-11-04,2024-12-29,16.0,no
NutriMart,69.11185887832939,41.24261832417362,Dairy Products,President,Kefir,44,2024-12-29,2025-02-27,8.04,yes
TastyBite,69.30266133779358,41.26924391276475,Dairy Products,Danone,Cream,43,2024-11-16,2025-02-04,5.66,yes
TastyBite,69.22230750630762,41.38485650389433,Meat Products,Oscar Mayer,Sausage,79,2024-08-19,2024-10-02,11.73,no
TastyBite,69.26883610322842,41.217479738707425,Beverages,Coca-Cola,Juices,43,2024-05-14,2026-01-10,9.17,no
MegaMarket,69.18034637765184,41.316390459304245,Sweets,Roshen,Candies,93,2024-04-14,2025-03-15,3.71,yes
NutriMart,69.32545948398246,41.35660566323481,Bakery Products,Barilla,Noodles,90,2024-05-14,2024-07-08,1.13,yes
SuperValue,69.266107733742,41.21892915169034,Sweets,Roshen,Ice Cream,95,2024-04-19,2024-09-26,7.19,yes
FoodWorld,69.34173570616326,41.26435062660169,Bakery Products,Pioner,Noodles,44,2024-12-23,2025-03-30,5.73,no
PrimePick,69.27536597652308,41.28694032107955,Bakery Products,Ozon,Noodles,39,2024-07-12,2024-10-03,6.4,no
FoodWorld,69.19042761708664,41.33758634075567,Meat Products,Hormel,Beef,74,2024-12-22,2025-01-22,22.92,yes
GoldenCart,69.1888733456794,41.38956408104346,Meat Products,Tyson,Poultry,92,2024-04-28,2024-05-27,23.48,yes
FoodWorld,69.34590592065956,41.220847588596385,Meat Products,Cherkizovo,Smoked Meat,35,2024-05-28,2024-06-10,17.31,yes
EcoGrocer,69.23906874019882,41.277468852247935,Bakery Products,Makfa,Wheat Flour,13,2024-10-16,2025-01-15,6.02,yes
SuperValue,69.32664895616847,41.25618849989649,Bakery Products,Pioner,Buns,61,2024-11-18,2025-05-10,2.4,no
GoldenCart,69.27694868297728,41.33303442987483,Dairy Products,Campina,Cottage Cheese,30,2024-12-17,2025-01-04,9.31,yes
SuperValue,69.3489437319312,41.20658069831796,Beverages,Lipton,Carbonated Drinks,96,2024-08-14,2025-03-20,1.13,yes
FreshFoods,69.23515568729073,41.39468981335719,Beverages,Nescafé,Coffee,64,2024-05-26,2026-04-22,7.55,yes
FreshFoods,69.13032667286501,41.28677137634904,Meat Products,Oscar Mayer,Beef,95,2024-09-07,2024-11-03,10.9,yes
EcoGrocer,69.18405731255035,41.32017412008985,Beverages,Lipton,Coffee,42,2024-05-02,2025-12-13,10.37,yes
SuperValue,69.18016145495204,41.3172318965058,Dairy Products,Parmalat,Cheese,31,2024-11-02,2024-12-20,9.63,yes
NutriMart,69.26169281006072,41.34557619821856,Bakery Products,Barilla,Buns,16,2024-11-12,2025-02-05,2.12,yes
PrimePick,69.24524637616919,41.23318569900105,Meat Products,Hormel,Hot Dogs,29,2024-07-09,2024-07-24,14.56,yes
NutriMart,69.33693938453928,41.23008445506224,Beverages,Nescafé,Carbonated Drinks,98,2024-07-23,2025-04-12,8.36,yes
GoldenCart,69.366657103095,41.39785287746788,Dairy Products,Amul,Cottage Cheese,26,2025-01-06,2025-03-29,3.2,yes
TastyBite,69.23913752197973,41.3035595342087,Sweets,Nestlé,Chocolate,66,2024-11-02,2025-02-28,6.53,yes
FoodWorld,69.1860080927397,41.30643192022618,Meat Products,Tyson,Sausage,33,2024-03-20,2024-05-13,9.36,yes
MarketMax,69.14690687372507,41.366427558983695,Dairy Products,Nestlé,Cheese,5,2024-08-12,2024-10-17,3.44,yes
MarketMax,69.30037696421869,41.39223272704234,Beverages,Lipton,Tea,11,2024-12-20,2025-11-01,10.15,yes
SuperValue,69.15253901504937,41.3218580400231,Bakery Products,Makfa,Wheat Flour,97,2024-03-30,2024-06-21,4.24,no
MarketMax,69.17370757116838,41.37133568597017,Bakery Products,Pioner,Bread,20,2024-08-07,2024-10-01,7.56,no
FreshFoods,69.2262900160425,41.387535354456375,Sweets,Mars,Candies,27,2024-04-22,2024-09-10,7.94,yes
MegaMarket,69.1202436307179,41.32096238777242,Beverages,Pepsi,Coffee,28,2024-04-16,2025-03-05,8.05,yes
NutriMart,69.34815715164797,41.39757585471444,Meat Products,Oscar Mayer,Poultry,19,2024-12-10,2024-12-31,13.27,yes
TastyBite,69.34212379180735,41.38238669323694,Bakery Products,Pioner,Noodles,64,2024-04-12,2024-07-16,7.59,yes
TastyBite,69.31423960306152,41.392674461221524,Bakery Products,Ozon,Biscuits,24,2024-12-19,2025-04-26,2.69,yes
SuperValue,69.2904666093114,41.38757882456069,Sweets,Nestlé,Ice Cream,72,2024-12-15,2025-05-22,5.88,yes
GoldenCart,69.30187025952272,41.327607540272176,Meat Products,Tyson,Hot Dogs,93,2024-06-24,2024-07-04,10.37,yes
NutriMart,69.37104141323812,41.28783004338265,Sweets,Roshen,Candies,62,2024-07-03,2025-03-20,5.03,no
EcoGrocer,69.27858025879104,41.33453856715849,Dairy Products,Campina,Butter,62,2024-07-21,2024-08-30,5.17,yes
GoldenCart,69.32176827772572,41.35937122472096,Sweets,Milka,Cakes,34,2024-09-19,2025-09-06,10.83,yes
